Graph's type,Nodes number,Edges number,Average shortest path,Diameter,Average degree centrality,Average clustering
random,95,433,2.2786114221724523,4.0,0.09697648376259799,0.08745158350421507
scale_free,95,115,,,0.025755879059350503,0.0
small_world,95,174,5.599328107502799,11.0,0.03896976483762598,0.37508771929824564
binomial_tree,59,41,,,0.02396259497369959,0.0
mycielski,42,140,2.103368176538908,4.0,0.16260162601626016,0.0
sudoku,11,29,1.4727272727272727,2.0,0.5272727272727273,0.45454545454545453
