Graph's type,Nodes number,Edges number,Average shortest path,Diameter,Average degree centrality,Average clustering
random,100,513,2.207878787878788,4,0.10363636363636365,0.09915682356858828
scale_free,100,196,2.9834343434343435,5,0.0395959595959596,0.1251824736666842
small_world,100,200,4.6872727272727275,9,0.04040404040404041,0.36733333333333335
binomial_tree,64,63,5.095238095238095,11,0.03125,0.0
mycielski,47,236,1.7816836262719704,2,0.2183163737280296,0.0
sudoku,16,56,1.5333333333333334,2,0.4666666666666667,0.42857142857142855
